episode: 123/500000, score: 185.33051065370225, avg_score: 390.6118493660279, ep_steps: 999, cumulus_steps: 102317
episode: 124/500000, score: 261.0085994509804, avg_score: 394.8630517660991, ep_steps: 999, cumulus_steps: 103316
episode: 125/500000, score: 327.7984120785472, avg_score: 399.9227137861395, ep_steps: 999, cumulus_steps: 104315
episode: 126/500000, score: 403.9701281353809, avg_score: 398.52449572721326, ep_steps: 999, cumulus_steps: 105314
episode: 127/500000, score: 405.0704903298435, avg_score: 397.387751795009, ep_steps: 999, cumulus_steps: 106313
episode: 128/500000, score: 406.2108801735814, avg_score: 397.28707082021504, ep_steps: 999, cumulus_steps: 107312
episode: 129/500000, score: 421.6718361477917, avg_score: 394.3937727527814, ep_steps: 999, cumulus_steps: 108311
episode: 130/500000, score: 306.9994885836886, avg_score: 399.01609742863957, ep_steps: 999, cumulus_steps: 109310
episode: 131/500000, score: 397.2416934104799, avg_score: 397.2103368824726, ep_steps: 999, cumulus_steps: 110309
episode: 132/500000, score: 252.88282743968156, avg_score: 395.16112449814847, ep_steps: 999, cumulus_steps: 111308
episode: 133/500000, score: 304.3538805668228, avg_score: 390.6307713850113, ep_steps: 999, cumulus_steps: 112307
episode: 134/500000, score: 331.74245119290833, avg_score: 393.1192530985859, ep_steps: 999, cumulus_steps: 113306
episode: 135/500000, score: 552.5041861967196, avg_score: 394.2934049029189, ep_steps: 999, cumulus_steps: 114305
episode: 136/500000, score: 359.334435955221, avg_score: 393.37932473770894, ep_steps: 999, cumulus_steps: 115304
episode: 137/500000, score: 472.3975189435972, avg_score: 394.6247380119987, ep_steps: 999, cumulus_steps: 116303
episode: 138/500000, score: 634.4144379972902, avg_score: 400.2492782308426, ep_steps: 999, cumulus_steps: 117302
episode: 139/500000, score: 420.304962284181, avg_score: 399.80956659291684, ep_steps: 999, cumulus_steps: 118301
episode: 140/500000, score: 309.1484477836753, avg_score: 399.5816247861988, ep_steps: 999, cumulus_steps: 119300
episode: 141/500000, score: 159.5668363401463, avg_score: 392.7757214941503, ep_steps: 999, cumulus_steps: 120299
episode: 142/500000, score: 478.7688993821648, avg_score: 397.5958856069789, ep_steps: 999, cumulus_steps: 121298
episode: 143/500000, score: 250.04181608375524, avg_score: 395.08906028109794, ep_steps: 999, cumulus_steps: 122297
episode: 144/500000, score: 563.8817992013497, avg_score: 395.2985308850767, ep_steps: 999, cumulus_steps: 123296
episode: 145/500000, score: 510.4101772227871, avg_score: 400.1396747181012, ep_steps: 999, cumulus_steps: 124295
